               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.057132,            0.065197,            0.040921,             0.66485,              0.7487,             0.81459,              0.4176,            0.043834,             0.05286,            0.040288,           0.0020795,           0.0020795,           0.0020795
                  61,            0.063804,             0.07569,            0.041161,             0.71582,              0.7525,             0.79073,             0.36968,            0.046915,             0.05275,            0.040151,             0.00203,             0.00203,             0.00203
                  62,            0.059528,            0.068629,            0.040849,             0.65061,              0.7425,             0.80511,             0.42356,            0.042011,            0.050316,            0.039901,           0.0019805,           0.0019805,           0.0019805
                  63,            0.059718,            0.072032,            0.040794,             0.71337,             0.74628,              0.8071,             0.39605,            0.045347,            0.052126,            0.039874,            0.001931,            0.001931,            0.001931
                  64,            0.055959,            0.064984,            0.040627,             0.69509,                0.74,             0.81907,             0.43652,            0.041402,            0.050403,             0.03969,           0.0018815,           0.0018815,           0.0018815
                  65,            0.058594,            0.068424,            0.040829,             0.70794,             0.74317,             0.80787,              0.4104,             0.04337,            0.050258,            0.039589,            0.001832,            0.001832,            0.001832
                  66,            0.056761,            0.062045,            0.040526,              0.6984,               0.745,             0.85023,              0.4524,            0.040307,            0.049825,            0.039417,           0.0017825,           0.0017825,           0.0017825
                  67,            0.054658,            0.058374,            0.040141,             0.71801,             0.74809,             0.84175,             0.43826,            0.041463,            0.049413,            0.039301,            0.001733,            0.001733,            0.001733
                  68,            0.051188,            0.060222,            0.040151,             0.69508,             0.74375,             0.85567,             0.45607,            0.038905,            0.048858,            0.039156,           0.0016835,           0.0016835,           0.0016835
                  69,            0.056038,            0.066155,            0.040032,             0.72675,             0.74963,             0.85732,             0.46481,            0.041227,              0.0492,            0.039062,            0.001634,            0.001634,            0.001634
