epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,334.281,0.40235,0.24208,0.80193,0.99874,1,0.995,0.92581,0.43668,0.23943,0.7552,0.003169,0.003169,0.003169
71,338.84,0.39109,0.23585,0.79962,0.99895,1,0.995,0.92884,0.42581,0.25478,0.74961,0.00307,0.00307,0.00307
72,343.517,0.39917,0.24087,0.80239,0.99829,1,0.995,0.9504,0.37815,0.23892,0.74343,0.002971,0.002971,0.002971
73,348.18,0.39811,0.23666,0.79767,0.99757,1,0.995,0.93336,0.42175,0.23513,0.75027,0.002872,0.002872,0.002872
74,352.835,0.38351,0.23239,0.79482,0.99818,1,0.995,0.91685,0.45054,0.25199,0.7603,0.002773,0.002773,0.002773
75,357.367,0.39202,0.2347,0.79471,0.99854,1,0.995,0.91085,0.42991,0.24042,0.75456,0.002674,0.002674,0.002674
76,362.012,0.38946,0.23573,0.80113,0.99823,1,0.995,0.91436,0.41654,0.23831,0.75207,0.002575,0.002575,0.002575
77,366.553,0.40112,0.2407,0.80006,0.99814,1,0.995,0.94086,0.37048,0.2277,0.74531,0.002476,0.002476,0.002476
78,371.292,0.39503,0.24047,0.7996,0.99763,1,0.995,0.92747,0.41766,0.22426,0.74667,0.002377,0.002377,0.002377
79,375.865,0.39194,0.23298,0.79822,0.99804,1,0.995,0.95494,0.35519,0.20658,0.74351,0.002278,0.002278,0.002278
80,380.613,0.38467,0.23072,0.79713,0.99835,1,0.995,0.93102,0.41157,0.21979,0.74906,0.002179,0.002179,0.002179
81,385.176,0.38449,0.22595,0.80301,0.99821,1,0.995,0.95069,0.36249,0.20407,0.74369,0.00208,0.00208,0.00208
82,389.719,0.37018,0.22384,0.79701,0.99883,1,0.995,0.91085,0.45611,0.21436,0.75856,0.001981,0.001981,0.001981
83,394.257,0.38302,0.22211,0.79793,0.99906,1,0.995,0.92135,0.43231,0.22172,0.75879,0.001882,0.001882,0.001882
84,398.905,0.3726,0.22196,0.79573,0.99945,1,0.995,0.94279,0.37778,0.19257,0.74547,0.001783,0.001783,0.001783
