epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,17975.5,1.44496,0.7543,1.54107,0.93005,0.94488,0.95893,0.52287,1.6329,0.58625,1.68121,0.004555,0.004555,0.004555
57,18296.8,1.44437,0.75536,1.53985,0.9305,0.94491,0.9592,0.52259,1.63345,0.58638,1.68144,0.004456,0.004456,0.004456
58,18617.4,1.44177,0.74825,1.53695,0.93018,0.94546,0.95904,0.52276,1.63405,0.58647,1.68178,0.004357,0.004357,0.004357
59,18938.2,1.43441,0.74464,1.53254,0.93065,0.94514,0.95918,0.52284,1.6346,0.58655,1.68222,0.004258,0.004258,0.004258
60,19258.9,1.43295,0.73952,1.52905,0.93083,0.94459,0.95913,0.52262,1.63506,0.58589,1.68237,0.004159,0.004159,0.004159
61,19579.6,1.43229,0.74121,1.52708,0.93073,0.94476,0.95923,0.52227,1.63559,0.58551,1.68272,0.00406,0.00406,0.00406
62,19900.2,1.42438,0.73566,1.52426,0.93082,0.94475,0.95918,0.5222,1.63623,0.58559,1.68313,0.003961,0.003961,0.003961
63,20221,1.42445,0.73029,1.52324,0.93081,0.94465,0.9591,0.52185,1.63677,0.58537,1.68337,0.003862,0.003862,0.003862
64,20541.7,1.41933,0.73121,1.51908,0.93049,0.94488,0.9591,0.52145,1.63733,0.58533,1.68361,0.003763,0.003763,0.003763
65,20862.3,1.41183,0.73034,1.51558,0.93146,0.94482,0.95906,0.52151,1.63775,0.58507,1.68384,0.003664,0.003664,0.003664
66,21182.9,1.41186,0.72324,1.51661,0.93148,0.94457,0.95903,0.52116,1.63827,0.5849,1.68417,0.003565,0.003565,0.003565
67,21503.6,1.40217,0.72051,1.5083,0.93129,0.94484,0.95874,0.52146,1.639,0.58461,1.68461,0.003466,0.003466,0.003466
68,21824.2,1.39891,0.71872,1.50923,0.93088,0.94463,0.95851,0.52117,1.6396,0.58418,1.68498,0.003367,0.003367,0.003367
69,22144.7,1.39403,0.71117,1.5035,0.93063,0.94473,0.95865,0.52128,1.64054,0.58349,1.68555,0.003268,0.003268,0.003268
70,22465.4,1.3914,0.70719,1.50111,0.93086,0.94405,0.95863,0.52114,1.64152,0.58309,1.6861,0.003169,0.003169,0.003169
71,22786,1.38702,0.70784,1.49803,0.93077,0.94442,0.95882,0.52097,1.64252,0.5826,1.68685,0.00307,0.00307,0.00307
72,23106.7,1.38098,0.70123,1.49275,0.93058,0.94483,0.95885,0.52113,1.64348,0.58214,1.68756,0.002971,0.002971,0.002971
