               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.011209,            0.014244,          0.00044103,             0.99867,             0.99739,             0.99464,             0.93379,            0.009039,            0.012082,          0.00037043,             0.00406,             0.00406,             0.00406
                  62,            0.011107,            0.014178,          0.00042192,              0.9987,             0.99734,             0.99463,             0.93457,           0.0090239,            0.012033,          0.00036533,            0.003961,            0.003961,            0.003961
                  63,            0.011054,            0.014095,          0.00041662,             0.99865,             0.99748,             0.99464,             0.93451,           0.0090032,            0.011978,          0.00035949,            0.003862,            0.003862,            0.003862
                  64,            0.010912,            0.013942,          0.00040271,             0.99876,             0.99761,             0.99463,              0.9348,           0.0089896,            0.011936,           0.0003542,            0.003763,            0.003763,            0.003763
                  65,            0.010904,            0.013991,          0.00041279,             0.99879,             0.99777,             0.99465,             0.93468,           0.0089686,            0.011893,           0.0003487,            0.003664,            0.003664,            0.003664
                  66,            0.010798,            0.013859,          0.00040152,             0.99879,             0.99768,             0.99465,             0.93495,           0.0089485,            0.011905,          0.00034276,            0.003565,            0.003565,            0.003565
                  67,            0.010799,             0.01385,           0.0004105,             0.99874,             0.99761,             0.99466,             0.93538,           0.0089332,            0.011882,          0.00033759,            0.003466,            0.003466,            0.003466
                  68,            0.010705,            0.013812,          0.00039463,             0.99869,             0.99757,             0.99466,             0.93541,           0.0089196,            0.011874,          0.00033208,            0.003367,            0.003367,            0.003367
                  69,            0.010625,            0.013777,          0.00038098,             0.99875,             0.99769,             0.99466,             0.93552,            0.008909,            0.011875,           0.0003269,            0.003268,            0.003268,            0.003268
                  70,            0.010625,            0.013842,          0.00038558,             0.99873,             0.99768,             0.99466,             0.93598,           0.0088918,            0.011867,          0.00032143,            0.003169,            0.003169,            0.003169
                  71,            0.010525,            0.013645,          0.00038442,              0.9987,             0.99766,             0.99466,             0.93629,           0.0088732,            0.011896,           0.0003156,             0.00307,             0.00307,             0.00307
                  72,            0.010472,            0.013611,          0.00036511,             0.99877,             0.99772,             0.99466,             0.93671,           0.0088616,            0.011927,          0.00031037,            0.002971,            0.002971,            0.002971
                  73,            0.010457,             0.01357,          0.00036652,             0.99884,             0.99748,             0.99465,             0.93691,           0.0088468,            0.011948,          0.00030504,            0.002872,            0.002872,            0.002872
                  74,            0.010349,            0.013431,          0.00036464,             0.99889,             0.99749,             0.99465,             0.93708,           0.0088349,            0.011924,          0.00029973,            0.002773,            0.002773,            0.002773
                  75,            0.010298,            0.013392,          0.00035615,             0.99892,             0.99752,             0.99465,             0.93743,           0.0088196,             0.01193,          0.00029387,            0.002674,            0.002674,            0.002674
                  76,            0.010256,              0.0135,          0.00035461,              0.9989,             0.99744,             0.99465,             0.93758,           0.0088031,            0.011941,           0.0002872,            0.002575,            0.002575,            0.002575
                  77,            0.010207,            0.013349,             0.00034,             0.99887,             0.99753,             0.99465,              0.9382,           0.0087903,            0.011945,          0.00028084,            0.002476,            0.002476,            0.002476
                  78,            0.010033,            0.013229,          0.00033843,             0.99885,              0.9975,             0.99465,             0.93825,           0.0087787,            0.011945,          0.00027426,            0.002377,            0.002377,            0.002377
                  79,            0.010079,            0.013286,          0.00033031,             0.99884,             0.99762,             0.99465,             0.93845,           0.0087647,            0.011937,          0.00026848,            0.002278,            0.002278,            0.002278
                  80,           0.0099963,            0.013177,          0.00031324,             0.99887,             0.99763,             0.99465,              0.9388,           0.0087508,             0.01192,          0.00026418,            0.002179,            0.002179,            0.002179
                  81,           0.0099387,            0.013112,          0.00032433,             0.99888,             0.99762,             0.99465,             0.93894,           0.0087403,            0.011906,           0.0002603,             0.00208,             0.00208,             0.00208
                  82,           0.0099285,            0.013095,          0.00031017,             0.99886,             0.99764,             0.99466,             0.93894,             0.00873,            0.011892,          0.00025676,            0.001981,            0.001981,            0.001981
                  83,           0.0098102,            0.012997,          0.00029798,             0.99875,             0.99774,             0.99466,             0.93934,            0.008719,            0.011879,          0.00025339,            0.001882,            0.001882,            0.001882
                  84,           0.0097215,            0.012918,          0.00031365,              0.9988,             0.99765,             0.99467,             0.93926,           0.0087056,            0.011865,           0.0002499,            0.001783,            0.001783,            0.001783
                  85,           0.0096929,            0.012865,          0.00030309,             0.99883,              0.9977,             0.99467,             0.93983,           0.0086962,            0.011838,          0.00024706,            0.001684,            0.001684,            0.001684
                  86,           0.0096728,            0.012806,          0.00030413,             0.99878,             0.99765,             0.99467,             0.94002,           0.0086849,            0.011836,          0.00024463,            0.001585,            0.001585,            0.001585
                  87,           0.0096336,            0.012856,           0.0002995,              0.9988,             0.99767,             0.99466,             0.94033,           0.0086733,            0.011821,          0.00024257,            0.001486,            0.001486,            0.001486
                  88,           0.0095611,            0.012753,          0.00029769,             0.99883,              0.9977,             0.99467,             0.94035,           0.0086628,            0.011806,          0.00024057,            0.001387,            0.001387,            0.001387
